Month,Year,Region,Volume,Type,LogVolume
Feb,2016,MiamiFtLauderdale,2931370.62,conventional,6.4670707307705
May,2019,Denver,2933633,conventional,6.46740578229387
Apr,2019,Boston,2941210.68,conventional,6.46852613429435
Aug,2015,Boston,2944442.94,conventional,6.46900314259753
Aug,2016,BaltimoreWashington,2948611.21,conventional,6.46961751229986
Nov,2017,SanFrancisco,2951361.8,conventional,6.47002245182873
Jun,2015,Denver,2953416.82,conventional,6.47032474390086
Jul,2017,Boston,2954155.92,conventional,6.47043341359224
Mar,2017,Portland,2957619.11,conventional,6.4709422436716
Mar,2019,Seattle,2967239.97,conventional,6.47235267049362
Feb,2018,Portland,2968147.07,conventional,6.47248541618483
Jul,2016,MiamiFtLauderdale,2969597.62,conventional,6.47269760647126
Apr,2015,SanFrancisco,2972085.9,conventional,6.47306135736205
Oct,2015,BaltimoreWashington,2973499.99,conventional,6.47326794137475
May,2019,Miami/Ft. Lauderdale,2975483,conventional,6.47355747332799
Jun,2017,Portland,2976780.53,conventional,6.47374681646617
May,2015,MiamiFtLauderdale,2980039.14,conventional,6.47422196816162
Mar,2016,SanFrancisco,2986840.96,conventional,6.47521209838811
Oct,2015,Denver,2995556.81,conventional,6.47647756029279
May,2015,Portland,3013056.25,conventional,6.47900723948503
Jan,2018,Boston,3018625.53,conventional,6.47980924076685
Apr,2015,TotalUS,3020007.33,organic,6.48000799705473
Nov,2017,Denver,3026671.7,conventional,6.48096531603063
May,2016,SanDiego,3028315.08,conventional,6.48120105919874
Jan,2019,Chicago,3033175.64,conventional,6.48189755942844
Sep,2015,Chicago,3033968.24,conventional,6.48201103021968
Jan,2017,Boston,3035006.89,conventional,6.48215968133733
Jan,2019,Boston,3035418.99,conventional,6.48221864680691
Apr,2015,BaltimoreWashington,3036398.78,conventional,6.48235880825781
Mar,2019,San Diego,3036844.8,conventional,6.48242259757323
Jul,2015,Denver,3037392.38,conventional,6.48250089908369
Mar,2019,Philadelphia,3040270.84,conventional,6.48291227409497
Jul,2017,Seattle,3041318.88,conventional,6.48306195798167
Aug,2017,Denver,3048479.99,conventional,6.48408334869004
Sep,2016,BaltimoreWashington,3059042.65,conventional,6.48558553207802
Feb,2016,Portland,3065129.13,conventional,6.48644877551516
Jan,2016,SanDiego,3068038.01,conventional,6.48686073579552
Apr,2015,Chicago,3074928.47,conventional,6.4878350175275
May,2017,Seattle,3079857.93,conventional,6.48853068350041
Oct,2016,Seattle,3080036.7,conventional,6.48855589134217
Feb,2019,Portland,3081044.39,conventional,6.48869795543904
Feb,2017,MiamiFtLauderdale,3081248.52,conventional,6.48872672801896
Sep,2015,WestTexNewMexico,3081375.65,conventional,6.48874464631349
Jan,2017,Atlanta,3089657.77,conventional,6.48991037689029
Dec,2016,Denver,3091386.49,conventional,6.49015330463671
Oct,2016,Portland,3092141.85,conventional,6.4902594086807
Oct,2016,BaltimoreWashington,3094618.94,conventional,6.4906071792224
Oct,2017,Denver,3103239.55,conventional,6.49181530160015
Jul,2016,Seattle,3108924.07,conventional,6.49261011529417
Apr,2016,Portland,3119762.76,conventional,6.49412156967861
Nov,2015,WestTexNewMexico,3120322.66,conventional,6.49419950498388
Mar,2017,BaltimoreWashington,3122442.72,conventional,6.49449448015551
Mar,2019,Orlando,3125396,conventional,6.49490505199019
Aug,2015,SanFrancisco,3127377.65,conventional,6.49518032812749
Feb,2016,Seattle,3127849.58,conventional,6.49524585943041
Jan,2015,Chicago,3129123.57,conventional,6.49542271390026
Dec,2016,WestTexNewMexico,3134407.86,conventional,6.49615550771088
Jan,2016,Boston,3134507.9,conventional,6.49616936874256
Apr,2016,Seattle,3136224.47,conventional,6.4964071390231
Oct,2017,WestTexNewMexico,3138700.19,conventional,6.49674983368441
Feb,2015,WestTexNewMexico,3152507.62,conventional,6.49865614498975
Sep,2016,Denver,3154148.83,conventional,6.49888218186631
Sep,2015,BaltimoreWashington,3154167.4,conventional,6.49888473876049
Aug,2017,WestTexNewMexico,3156478.1,conventional,6.49920278048987
Dec,2017,MiamiFtLauderdale,3160386.62,conventional,6.49974021447343
Aug,2015,TotalUS,3180103.91,organic,6.50244131080278
Feb,2016,TotalUS,3195126.96,organic,6.50448811975011
Jan,2017,SanDiego,3195519.59,conventional,6.504541484317
Aug,2016,WestTexNewMexico,3212752.53,conventional,6.50687727426158
Mar,2016,Denver,3219220.7,conventional,6.50775075161774
